lexemeCurrentNode        lineno   tokenName                valueIfNumber    parentNodeSymbol         isLeaf   NodeSymbol              
type                     26       TK_TYPE                  ~~~~             FIELD_DEFINITION         yes      TK_TYPE                 
~~~~                     26       ~~~~                     ~~~~             FIELD_DEFINITIONS        no       FIELD_DEFINITION        
real                     26       TK_REAL                  ~~~~             PRIMITIVE_DATATYPE       yes      TK_REAL                 
~~~~                     26       ~~~~                     ~~~~             FIELD_TYPE               no       PRIMITIVE_DATATYPE      
~~~~                     26       ~~~~                     ~~~~             FIELD_DEFINITION         no       FIELD_TYPE              
:                        26       TK_COLON                 ~~~~             FIELD_DEFINITION         yes      TK_COLON                
marks                    26       TK_FIELDID               ~~~~             FIELD_DEFINITION         yes      TK_FIELDID              
;                        26       TK_SEM                   ~~~~             FIELD_DEFINITION         yes      TK_SEM                  
type                     27       TK_TYPE                  ~~~~             FIELD_DEFINITION         yes      TK_TYPE                 
~~~~                     27       ~~~~                     ~~~~             MORE_FIELDS              no       FIELD_DEFINITION        
int                      27       TK_INT                   ~~~~             PRIMITIVE_DATATYPE       yes      TK_INT                  
~~~~                     27       ~~~~                     ~~~~             FIELD_TYPE               no       PRIMITIVE_DATATYPE      
~~~~                     27       ~~~~                     ~~~~             FIELD_DEFINITION         no       FIELD_TYPE              
:                        27       TK_COLON                 ~~~~             FIELD_DEFINITION         yes      TK_COLON                
age                      27       TK_FIELDID               ~~~~             FIELD_DEFINITION         yes      TK_FIELDID              
;                        27       TK_SEM                   ~~~~             FIELD_DEFINITION         yes      TK_SEM                  
~~~~                     28       ~~~~                     ~~~~             FIELD_DEFINITIONS        no       MORE_FIELDS             
endunion                 28       TK_ENDUNION              ~~~~             TYPE_DEFINITION          yes      TK_ENDUNION             
~~~~                     24       ~~~~                     ~~~~             TYPE_DEFINITIONS         no       ACTUAL_OR_REDEFINED     
~~~~                     30       ~~~~                     ~~~~             TYPE_DEFINITIONS         no       TYPE_DEFINITIONS        
definetype               30       TK_DEFINETYPE            ~~~~             DEFINETYPESTMT           yes      TK_DEFINETYPE           
~~~~                     30       ~~~~                     ~~~~             ACTUAL_OR_REDEFINED      no       DEFINETYPESTMT          
union                    30       TK_UNION                 ~~~~             A                        yes      TK_UNION                
~~~~                     30       ~~~~                     ~~~~             DEFINETYPESTMT           no       A                       
#student                 30       TK_RUID                  ~~~~             DEFINETYPESTMT           yes      TK_RUID                 
as                       30       TK_AS                    ~~~~             DEFINETYPESTMT           yes      TK_AS                   
#newstudent              30       TK_RUID                  ~~~~             DEFINETYPESTMT           yes      TK_RUID                 
~~~~                     30       ~~~~                     ~~~~             TYPE_DEFINITIONS         no       ACTUAL_OR_REDEFINED     
~~~~                     32       ~~~~                     ~~~~             TYPE_DEFINITIONS         no       TYPE_DEFINITIONS        
~~~~                     98       ~~~~                     ~~~~             FUNCTION                 no       STMTS                   
type                     34       TK_TYPE                  ~~~~             DECLARATION              yes      TK_TYPE                 
~~~~                     34       ~~~~                     ~~~~             DECLARATIONS             no       DECLARATION             
int                      34       TK_INT                   ~~~~             PRIMITIVE_DATATYPE       yes      TK_INT                  
~~~~                     34       ~~~~                     ~~~~             DATA_TYPE                no       PRIMITIVE_DATATYPE      
~~~~                     34       ~~~~                     ~~~~             DECLARATION              no       DATA_TYPE               
:                        34       TK_COLON                 ~~~~             DECLARATION              yes      TK_COLON                
c2d3                     34       TK_ID                    ~~~~             DECLARATION              yes      TK_ID                   
:                        34       TK_COLON                 ~~~~             GLOBAL_OR_NOT            yes      TK_COLON                
~~~~                     34       ~~~~                     ~~~~             DECLARATION              no       GLOBAL_OR_NOT           
global                   34       TK_GLOBAL                ~~~~             GLOBAL_OR_NOT            yes      TK_GLOBAL               
;                        34       TK_SEM                   ~~~~             DECLARATION              yes      TK_SEM                  
~~~~                     36       ~~~~                     ~~~~             STMTS                    no       DECLARATIONS            
type                     37       TK_TYPE                  ~~~~             DECLARATION              yes      TK_TYPE                 
~~~~                     37       ~~~~                     ~~~~             DECLARATIONS             no       DECLARATION             
int                      37       TK_INT                   ~~~~             PRIMITIVE_DATATYPE       yes      TK_INT                  
~~~~                     37       ~~~~                     ~~~~             DATA_TYPE                no       PRIMITIVE_DATATYPE      
~~~~                     37       ~~~~                     ~~~~             DECLARATION              no       DATA_TYPE               
:                        37       TK_COLON                 ~~~~             DECLARATION              yes      TK_COLON                
;                        37       TK_SEM                   ~~~~             DECLARATION              yes      TK_SEM                  
~~~~                     39       ~~~~                     ~~~~             DECLARATIONS             no       DECLARATIONS            
type                     40       TK_TYPE                  ~~~~             DECLARATION              yes      TK_TYPE                 
~~~~                     40       ~~~~                     ~~~~             DECLARATIONS             no       DECLARATION             
real                     40       TK_REAL                  ~~~~             PRIMITIVE_DATATYPE       yes      TK_REAL                 
~~~~                     40       ~~~~                     ~~~~             DATA_TYPE                no       PRIMITIVE_DATATYPE      
~~~~                     40       ~~~~                     ~~~~             DECLARATION              no       DATA_TYPE               
d3cd                     40       TK_ID                    ~~~~             DECLARATION              yes      TK_ID                   
;                        40       TK_SEM                   ~~~~             DECLARATION              yes      TK_SEM                  
~~~~                     42       ~~~~                     ~~~~             DECLARATIONS             no       DECLARATIONS            
type                     42       TK_TYPE                  ~~~~             DECLARATION              yes      TK_TYPE                 
~~~~                     42       ~~~~                     ~~~~             DECLARATIONS             no       DECLARATION             
int                      42       TK_INT                   ~~~~             PRIMITIVE_DATATYPE       yes      TK_INT                  
~~~~                     42       ~~~~                     ~~~~             DATA_TYPE                no       PRIMITIVE_DATATYPE      
~~~~                     42       ~~~~                     ~~~~             DECLARATION              no       DATA_TYPE               
:                        42       TK_COLON                 ~~~~             DECLARATION              yes      TK_COLON                
b3                       42       TK_ID                    ~~~~             DECLARATION              yes      TK_ID                   
;                        42       TK_SEM                   ~~~~             DECLARATION              yes      TK_SEM                  
~~~~                     44       ~~~~                     ~~~~             DECLARATIONS             no       DECLARATIONS            
b3                       45       TK_ID                    ~~~~             SINGLE_OR_REC_ID         yes      TK_ID                   
~~~~                     45       ~~~~                     ~~~~             ASSIGNMENT_STMT          no       SINGLE_OR_REC_ID        
